Wavenumber(cm^-1),2.0MLs101,2.0MLp101,2.0MLs010,2.0MLp010
1211.13846,1.4644E-6,-1.20691E-5,1.2854E-6,8.3818E-6
1213.06703,1.3514E-6,-1.20464E-5,2.1974E-6,2.5428E-6
1214.99559,-2.844E-6,-2.10913E-5,9.1241E-6,9.136E-7
1216.92415,-6.674E-6,-2.88113E-5,1.63959E-5,1.1021E-6
1218.85272,-6.0238E-6,-3.02825E-5,1.16713E-5,-2.879E-7
1220.78128,-4.3309E-6,-2.90868E-5,-2.7207E-6,4.0786E-6
1222.70985,-3.3381E-6,-2.83235E-5,-9.67E-6,1.52545E-5
1224.63841,-2.6785E-6,-2.77662E-5,-7.701E-6,2.20787E-5
1226.56698,-1.8155E-6,-2.36035E-5,-4.1171E-6,1.65708E-5
1228.49554,5.828E-7,-1.84694E-5,2.0182E-6,7.9662E-6
1230.42411,1.4753E-6,-2.00428E-5,6.6113E-6,6.405E-6
1232.35267,-4.513E-7,-2.58862E-5,8.4175E-6,2.0537E-6
1234.28123,-1.5918E-6,-2.82269E-5,8.1159E-6,-8.0778E-6
1236.2098,-1.7188E-6,-2.53766E-5,2.5631E-6,-1.19547E-5
1238.13836,-1.7323E-6,-2.05938E-5,-1.9098E-6,-8.8324E-6
1240.06693,2.814E-7,-1.70756E-5,-9.925E-7,-5.6338E-6
1241.99549,4.7624E-6,-1.52767E-5,1.3454E-6,-5.9983E-6
1243.92406,7.4194E-6,-1.43334E-5,2.8941E-6,-9.0485E-6
1245.85262,5.7461E-6,-1.44446E-5,2.8339E-6,-1.24133E-5
1247.78119,2.6047E-6,-1.5721E-5,9.379E-7,-1.3943E-5
1249.70975,8.309E-7,-1.68988E-5,-6.954E-7,-1.16416E-5
1251.63831,7.369E-7,-1.58834E-5,-7.158E-7,-9.2146E-6
1253.56688,1.1922E-6,-1.21916E-5,3.604E-7,-9.6051E-6
1255.49544,1.3275E-6,-8.9282E-6,1.698E-6,-1.00756E-5
1257.42401,1.4794E-6,-6.7693E-6,1.8226E-6,-8.2859E-6
1259.35257,1.8344E-6,-2.7225E-6,1.0357E-6,-4.888E-6
1261.28114,2.1764E-6,1.3721E-6,1.2949E-6,-2.0595E-6
1263.2097,1.9973E-6,2.3441E-6,2.6272E-6,-1.922E-6
1265.13827,1.2985E-6,1.5775E-6,3.9476E-6,-3.5058E-6
1267.06683,1.1631E-6,1.8931E-6,4.3228E-6,-2.9205E-6
1268.99539,1.6103E-6,4.6806E-6,3.1557E-6,2.501E-7
1270.92396,1.5107E-6,7.3924E-6,1.4819E-6,2.7623E-6
1272.85252,9.656E-7,6.5777E-6,9.144E-7,1.6392E-6
1274.78109,9.142E-7,2.6839E-6,1.8642E-6,-1.4297E-6
1276.70965,1.1678E-6,-1.8528E-6,3.4995E-6,-3.3645E-6
1278.63822,6.086E-7,-4.5726E-6,3.3223E-6,-4.857E-6
1280.56678,-5.704E-7,-3.958E-6,-4.217E-7,-6.3082E-6
1282.49535,-1.5695E-6,-1.7332E-6,-5.5992E-6,-6.2427E-6
1284.42391,-2.0688E-6,-1.618E-7,-7.9517E-6,-5.9593E-6
1286.35247,-2.2567E-6,1.0962E-6,-6.3405E-6,-6.7117E-6
1288.28104,-2.0524E-6,2.1524E-6,-3.331E-6,-7.0582E-6
1290.2096,-1.415E-6,2.4423E-6,-4.9076E-6,-3.585E-6
1292.13817,-4.725E-7,2.5179E-6,-1.15988E-5,5.1126E-6
1294.06673,4.991E-7,2.3223E-6,-9.4173E-6,6.9411E-6
1295.9953,7.81E-7,8.788E-7,3.6579E-6,-8.5715E-6
1297.92386,1.256E-7,-1.2657E-6,8.2628E-6,-2.16141E-5
1299.85243,-3.965E-7,-3.4132E-6,2.563E-6,-1.57142E-5
1301.78099,-2.424E-7,-4.7259E-6,-3.642E-7,-4.5493E-6
1303.70955,-1.821E-7,-4.9125E-6,2.5509E-6,3.4629E-6
1305.63812,7.4E-8,-4.6213E-6,6.4371E-6,1.08626E-5
1307.56668,6.774E-7,-3.6941E-6,3.6286E-6,1.17691E-5
1309.49525,7.857E-7,-1.5098E-6,-4.9728E-6,5.1367E-6
1311.42381,3.167E-7,7.469E-7,-8.6804E-6,2.0257E-6
1313.35238,1.108E-7,1.2944E-6,-1.9844E-6,4.0636E-6
1315.28094,5.437E-7,4.88E-8,7.8085E-6,3.2007E-6
1317.20951,1.2133E-6,-1.8882E-6,8.3651E-6,6.072E-7
1319.13807,1.6969E-6,-2.9528E-6,-1.1107E-6,3.1125E-6
1321.06663,1.7619E-6,-2.5199E-6,-8.779E-6,9.7098E-6
1322.9952,1.4488E-6,-2.1749E-6,-7.1276E-6,1.14737E-5
1324.92376,8.968E-7,-2.743E-6,1.14E-8,7.4386E-6
1326.85233,4.892E-7,-2.6235E-6,5.1228E-6,6.8623E-6
1328.78089,5.588E-7,-4.524E-7,4.1189E-6,1.09706E-5
1330.70946,4.189E-7,2.5219E-6,1.504E-6,1.05773E-5
1332.63802,-3.425E-7,3.2659E-6,4.3436E-6,2.7691E-6
1334.56659,-7.442E-7,1.1571E-6,7.1394E-6,-3.575E-6
1336.49515,-3.664E-7,-9.275E-7,3.2296E-6,-4.1953E-6
1338.42371,7.014E-7,-9.894E-7,-4.665E-7,-3.4024E-6
1340.35228,1.5881E-6,3.756E-7,2.2205E-6,-4.9216E-6
1342.28084,1.3309E-6,1.953E-6,3.7383E-6,-8.8706E-6
1344.20941,4.033E-7,2.5272E-6,-3.7944E-6,-9.3526E-6
1346.13797,-2.7E-8,1.8466E-6,-1.23617E-5,-3.7143E-6
1348.06654,1.296E-7,1.3378E-6,-9.5038E-6,4.2861E-6
1349.9951,5.859E-7,1.2174E-6,4.0491E-6,1.38046E-5
1351.92366,7.012E-7,4.35E-7,9.4641E-6,1.75937E-5
1353.85223,2.633E-7,-6.997E-7,-5.4067E-6,9.377E-6
1355.78079,-6.39E-8,-1.9707E-6,-1.98415E-5,-1.0747E-6
1357.70936,-1.45E-8,-3.7739E-6,-1.36873E-5,-1.04718E-5
1359.63792,3.116E-7,-4.7371E-6,3.0259E-6,-1.71663E-5
1361.56649,8.535E-7,-2.9229E-6,1.08813E-5,-7.2572E-6
1363.49505,8.595E-7,4.391E-7,6.5143E-6,1.59609E-5
1365.42362,-9.14E-8,2.2765E-6,6.78E-7,3.04872E-5
1367.35218,-8.462E-7,2.3847E-6,-1.2198E-6,2.18242E-5
1369.28074,-1.0003E-6,2.5832E-6,-1.9281E-6,-4.37E-8
1371.20931,-1.3141E-6,2.4235E-6,-1.8854E-6,-8.3871E-6
1373.13787,-1.7014E-6,5.375E-7,3.225E-7,7.85E-7
